ask_price,ask_whole_lot_volume,ask_lot_volume,bid_price,bid_whole_lot_volume,bit_lot_volume,close_price,close_volume
37334.80000,2,2.000,37334.70000,1,1.000,37358.40000,0.02374655
37344.30000,1,1.000,37344.20000,2,2.000,37331.90000,0.00065600
37344.30000,1,1.000,37344.20000,2,2.000,37331.90000,0.00065600
37332.10000,1,1.000,37324.00000,1,1.000,37344.20000,0.00118192
37332.30000,1,1.000,37328.40000,1,1.000,37330.60000,0.04017710
37332.30000,1,1.000,37328.40000,1,1.000,37330.60000,0.04017710
37351.70000,1,1.000,37351.60000,3,3.000,37330.60000,0.04017710
37344.40000,4,4.000,37344.30000,1,1.000,37369.10000,0.02624029
37373.40000,1,1.000,37351.70000,2,2.000,37376.20000,0.00498108
37344.40000,2,2.000,37344.30000,1,1.000,37369.10000,0.02624029
37375.80000,1,1.000,37346.30000,1,1.000,37344.40000,0.04015892
37375.70000,1,1.000,37359.90000,1,1.000,37344.40000,0.04015892
37355.50000,7,7.000,37355.40000,1,1.000,37359.90000,0.00534665
37363.40000,2,2.000,37355.40000,1,1.000,37359.90000,0.00534665
37353.30000,1,1.000,37340.30000,1,1.000,37359.90000,0.00534665
37352.90000,1,1.000,37345.40000,1,1.000,37347.00000,0.00192295
37380.40000,1,1.000,37370.10000,1,1.000,37347.00000,0.00192295
37386.70000,1,1.000,37381.50000,1,1.000,37386.10000,0.00518470
37386.70000,1,1.000,37380.00000,1,1.000,37386.10000,0.00518470
37383.50000,1,1.000,37372.40000,1,1.000,37386.70000,0.02000000
37386.70000,3,3.000,37378.00000,1,1.000,37386.70000,0.02000000
37383.50000,1,1.000,37372.40000,1,1.000,37386.70000,0.02000000
37383.20000,3,3.000,37369.70000,1,1.000,37381.40000,0.00723000
37386.70000,1,1.000,37381.80000,1,1.000,37381.40000,0.00723000
37386.60000,1,1.000,37383.50000,1,1.000,37381.40000,0.00723000
37386.60000,1,1.000,37386.50000,3,3.000,37381.40000,0.00723000
37386.60000,1,1.000,37386.50000,5,5.000,37381.40000,0.00723000
37386.60000,1,1.000,37386.50000,5,5.000,37381.40000,0.00723000
37386.60000,1,1.000,37386.50000,7,7.000,37381.40000,0.00723000
37386.60000,1,1.000,37386.50000,7,7.000,37381.40000,0.00723000
37462.80000,1,1.000,37462.70000,1,1.000,37426.40000,0.00290000
37463.70000,1,1.000,37463.60000,4,4.000,37426.40000,0.00290000
37463.70000,1,1.000,37463.60000,1,1.000,37426.40000,0.00290000
37527.30000,1,1.000,37527.20000,2,2.000,37499.90000,0.00231376
37502.60000,3,3.000,37502.50000,1,1.000,37545.70000,0.00264225
37522.90000,1,1.000,37502.40000,1,1.000,37545.70000,0.00264225
37502.50000,1,1.000,37477.00000,1,1.000,37502.50000,0.00050424
37502.50000,1,1.000,37477.00000,1,1.000,37502.50000,0.00050424
37514.50000,1,1.000,37502.30000,1,1.000,37502.50000,0.00050424
37516.70000,1,1.000,37502.60000,1,1.000,37502.50000,0.00050424
37527.00000,1,1.000,37513.00000,1,1.000,37502.50000,0.00050424
37516.80000,1,1.000,37502.60000,1,1.000,37502.50000,0.00050424
37513.40000,6,6.000,37513.30000,1,1.000,37502.50000,0.00050424
37513.40000,6,6.000,37513.30000,1,1.000,37502.50000,0.00050424
37487.80000,2,2.000,37446.10000,1,1.000,37502.70000,0.01312932
37470.50000,1,1.000,37453.80000,1,1.000,37454.90000,0.00218376
37463.30000,4,4.000,37463.20000,1,1.000,37470.40000,0.00041679
37463.30000,4,4.000,37463.20000,1,1.000,37470.40000,0.00041679
37463.30000,7,7.000,37463.20000,1,1.000,37463.30000,0.50000000
37427.80000,1,1.000,37421.50000,1,1.000,37433.10000,0.04004966
37442.80000,1,1.000,37433.40000,1,1.000,37433.10000,0.04004966
37448.00000,1,1.000,37447.90000,1,1.000,37436.40000,0.02776695
37448.00000,1,1.000,37440.20000,1,1.000,37436.40000,0.02776695
37441.20000,1,1.000,37440.20000,1,1.000,37436.40000,0.02776695
37440.30000,6,6.000,37440.20000,1,1.000,37441.10000,0.00690257
37440.20000,3,3.000,37431.30000,1,1.000,37429.40000,0.16295506
37438.30000,1,1.000,37431.40000,1,1.000,37429.40000,0.16295506
37431.50000,1,1.000,37431.40000,1,1.000,37429.40000,0.16295506
37431.50000,5,5.000,37431.40000,1,1.000,37429.40000,0.16295506
37431.50000,4,4.000,37431.40000,1,1.000,37429.40000,0.16295506
37431.50000,1,1.000,37431.40000,1,1.000,37429.40000,0.16295506
37423.00000,7,7.000,37422.90000,1,1.000,37422.90000,0.00612100
37423.00000,7,7.000,37422.90000,1,1.000,37422.90000,0.00612100
37423.00000,4,4.000,37422.90000,1,1.000,37423.00000,0.05000000
37419.40000,4,4.000,37419.30000,1,1.000,37423.00000,0.05000000
37403.70000,1,1.000,37403.60000,1,1.000,37419.30000,0.00000001
37418.60000,1,1.000,37403.60000,1,1.000,37419.30000,0.00000001
37401.00000,5,5.000,37400.90000,1,1.000,37401.00000,0.04008626
37400.90000,7,7.000,37400.80000,1,1.000,37401.00000,0.04008626
37400.90000,10,10.000,37400.80000,1,1.000,37400.80000,0.00172312
37400.90000,5,5.000,37400.80000,1,1.000,37400.80000,0.00172312
37400.90000,4,4.000,37400.80000,1,1.000,37400.80000,0.00172312
37400.90000,4,4.000,37400.80000,1,1.000,37400.80000,0.00172312
37400.90000,2,2.000,37400.80000,1,1.000,37400.90000,0.00100000
37400.90000,2,2.000,37400.80000,1,1.000,37400.90000,0.00100000
37400.90000,2,2.000,37400.80000,1,1.000,37400.90000,0.00100000
37381.10000,1,1.000,37365.80000,1,1.000,37381.10000,0.04246679
37383.10000,1,1.000,37378.90000,1,1.000,37381.10000,0.04246679
37378.60000,2,2.000,37372.40000,1,1.000,37381.10000,0.04246679
37400.90000,1,1.000,37380.50000,1,1.000,37381.10000,0.04246679
37399.00000,1,1.000,37391.30000,1,1.000,37400.90000,0.00222539
37399.00000,1,1.000,37391.30000,1,1.000,37400.90000,0.00222539
37395.20000,1,1.000,37379.60000,1,1.000,37400.90000,0.00222539
37400.90000,1,1.000,37400.80000,1,1.000,37400.90000,0.00222539
37400.90000,2,2.000,37385.20000,1,1.000,37400.90000,0.00131683
37400.90000,2,2.000,37385.20000,1,1.000,37400.90000,0.00131683
37400.90000,1,1.000,37388.60000,1,1.000,37400.90000,0.00131683
37400.90000,1,1.000,37400.80000,1,1.000,37400.90000,0.00131683
37418.70000,1,1.000,37400.80000,3,3.000,37400.90000,0.00000001
37418.70000,1,1.000,37418.60000,2,2.000,37418.60000,0.00000058
37420.30000,1,1.000,37420.20000,2,2.000,37418.60000,0.00000058
37420.20000,1,1.000,37405.60000,1,1.000,37418.60000,0.00000058
37445.30000,1,1.000,37445.20000,2,2.000,37420.30000,0.00000001
37445.30000,1,1.000,37445.20000,2,2.000,37445.20000,0.04008519
37455.50000,2,2.000,37445.20000,1,1.000,37445.20000,0.04008519
37455.50000,2,2.000,37445.20000,1,1.000,37445.20000,0.04008519
37447.30000,1,1.000,37445.20000,1,1.000,37449.10000,0.00141971
37452.70000,2,2.000,37445.70000,1,1.000,37445.20000,0.04008519
37429.40000,1,1.000,37428.70000,1,1.000,37449.10000,0.00141971
37428.80000,1,1.000,37420.30000,1,1.000,37449.10000,0.00141971
37428.80000,1,1.000,37420.70000,1,1.000,37449.10000,0.00141971
37440.00000,1,1.000,37433.20000,1,1.000,37449.10000,0.00141971
37445.20000,1,1.000,37437.30000,1,1.000,37445.20000,0.00165895
37446.00000,1,1.000,37445.90000,1,1.000,37445.20000,0.00165895
37446.00000,1,1.000,37445.90000,1,1.000,37445.20000,0.00165895
37478.50000,1,1.000,37470.90000,1,1.000,37470.90000,0.19507313
37446.00000,1,1.000,37445.90000,3,3.000,37445.20000,0.00165895
37478.70000,3,3.000,37473.60000,1,1.000,37473.50000,0.05500000
37449.10000,1,1.000,37441.00000,1,1.000,37473.50000,0.05500000
37449.10000,1,1.000,37442.40000,1,1.000,37473.50000,0.05500000
37441.10000,1,1.000,37441.00000,1,1.000,37441.10000,0.00040157
37456.80000,1,1.000,37447.70000,1,1.000,37441.10000,0.09293424
37445.00000,2,2.000,37442.40000,1,1.000,37441.10000,0.09293424
37441.20000,3,3.000,37441.10000,1,1.000,37441.10000,0.09293424
37442.50000,5,5.000,37442.40000,1,1.000,37441.10000,0.09293424
37441.20000,2,2.000,37441.10000,1,1.000,37441.10000,0.09293424
37441.20000,2,2.000,37441.10000,1,1.000,37441.10000,0.09293424
37431.80000,3,3.000,37431.70000,1,1.000,37441.10000,0.09293424
37438.80000,1,1.000,37428.60000,1,1.000,37441.10000,0.09293424
37433.70000,1,1.000,37428.70000,2,2.000,37438.80000,0.01004698
37433.70000,1,1.000,37433.60000,2,2.000,37438.80000,0.01004698
37433.70000,1,1.000,37433.60000,3,3.000,37433.70000,0.10000000
37441.70000,1,1.000,37441.60000,3,3.000,37433.70000,0.10000000
37441.70000,1,1.000,37441.60000,4,4.000,37433.70000,0.10000000
37441.70000,1,1.000,37441.60000,5,5.000,37441.70000,0.04006239
37441.70000,1,1.000,37441.60000,6,6.000,37441.70000,0.04006239
37441.70000,1,1.000,37441.60000,6,6.000,37441.70000,0.04006239
37441.70000,1,1.000,37441.60000,5,5.000,37441.70000,0.04006239
37441.70000,1,1.000,37441.60000,5,5.000,37441.70000,0.04006239
37445.00000,1,1.000,37444.90000,6,6.000,37445.00000,0.02169291
37445.00000,1,1.000,37444.90000,5,5.000,37445.00000,0.02169291
37445.00000,1,1.000,37444.90000,8,8.000,37445.00000,0.04005885
37445.00000,1,1.000,37444.90000,8,8.000,37445.00000,0.04005885
37445.00000,1,1.000,37444.90000,8,8.000,37445.00000,0.04005885
37445.00000,1,1.000,37444.90000,8,8.000,37445.00000,0.04005885
37445.00000,1,1.000,37444.90000,8,8.000,37445.00000,0.04005885
37464.50000,1,1.000,37464.40000,1,1.000,37445.00000,0.00318939
37464.50000,4,4.000,37464.40000,1,1.000,37445.00000,0.00318939
37479.90000,1,1.000,37479.80000,2,2.000,37471.10000,0.02000000
37507.50000,1,1.000,37496.50000,1,1.000,37471.10000,0.02000000
37506.00000,5,5.000,37499.70000,1,1.000,37471.10000,0.02000000
37506.00000,1,1.000,37505.90000,1,1.000,37471.10000,0.02000000
37487.20000,1,1.000,37487.10000,1,1.000,37471.10000,0.02000000
37491.80000,1,1.000,37491.70000,1,1.000,37471.10000,0.02000000
37491.80000,1,1.000,37491.70000,1,1.000,37471.10000,0.02000000
37491.80000,1,1.000,37491.70000,1,1.000,37491.80000,0.00785457
37491.80000,1,1.000,37491.70000,1,1.000,37491.80000,0.00785457
37491.80000,1,1.000,37491.70000,1,1.000,37491.80000,0.00785457
37514.20000,2,2.000,37505.80000,1,1.000,37491.80000,0.04000885
37514.20000,2,2.000,37505.00000,1,1.000,37491.80000,0.04000885
37507.90000,5,5.000,37507.80000,1,1.000,37491.80000,0.04000885
37507.90000,1,1.000,37507.80000,1,1.000,37491.80000,0.04000885
37509.00000,2,2.000,37508.90000,1,1.000,37491.80000,0.04000885
37509.00000,2,2.000,37508.90000,1,1.000,37491.80000,0.04000885
37509.00000,2,2.000,37508.90000,1,1.000,37491.80000,0.04000885
37509.00000,2,2.000,37508.90000,1,1.000,37491.80000,0.04000885
37516.70000,1,1.000,37516.60000,3,3.000,37491.80000,0.04000885
37516.70000,1,1.000,37516.60000,3,3.000,37491.80000,0.04000885
37518.30000,1,1.000,37518.20000,3,3.000,37491.80000,0.04000885
37530.30000,1,1.000,37530.20000,2,2.000,37530.20000,0.00059900
37549.80000,1,1.000,37530.90000,1,1.000,37530.20000,0.00059900
37530.30000,1,1.000,37530.20000,1,1.000,37530.20000,0.00059900
37586.60000,1,1.000,37580.70000,1,1.000,37580.70000,0.01258435
37604.40000,1,1.000,37604.30000,2,2.000,37604.40000,0.02123080
37604.40000,1,1.000,37604.30000,2,2.000,37604.40000,0.02123080
37604.40000,1,1.000,37604.30000,2,2.000,37604.40000,0.02123080
37585.80000,5,5.000,37585.10000,1,1.000,37587.60000,0.15149893
37535.90000,1,1.000,37535.80000,2,2.000,37545.70000,0.03988905
37535.90000,1,1.000,37535.80000,2,2.000,37545.70000,0.03988905
37535.90000,1,1.000,37522.10000,1,1.000,37545.70000,0.03988905
37558.30000,1,1.000,37552.60000,1,1.000,37548.90000,0.03990943
37558.30000,1,1.000,37552.60000,1,1.000,37548.90000,0.03990943
37564.50000,1,1.000,37543.10000,1,1.000,37548.90000,0.03990943
37566.50000,1,1.000,37555.80000,2,2.000,37548.90000,0.03990943
37562.70000,1,1.000,37543.10000,1,1.000,37548.90000,0.03990943
37560.20000,5,5.000,37560.10000,1,1.000,37548.90000,0.03990943
37556.10000,3,3.000,37555.90000,1,1.000,37555.90000,0.02535944
37531.80000,1,1.000,37525.70000,1,1.000,37555.90000,0.00004056
37538.40000,1,1.000,37522.30000,1,1.000,37518.90000,0.01279125
37529.20000,1,1.000,37520.50000,2,2.000,37518.90000,0.01279125
37531.00000,1,1.000,37520.50000,2,2.000,37518.90000,0.01279125
37523.40000,1,1.000,37518.30000,1,1.000,37518.20000,0.00323075
37523.30000,1,1.000,37518.30000,1,1.000,37518.20000,0.00323075
